City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Nuqui,CO,2022-07-28 23:45:13,5.7125,-77.2708,76.93,86,93,2.95
173,Agadir,MA,2022-07-28 23:45:14,30.4202,-9.5982,70.25,79,0,6.06
174,San Policarpo,PH,2022-07-28 23:45:14,12.1791,125.5072,81.99,85,99,8.57
175,Padang,ID,2022-07-28 23:45:15,-0.9492,100.3543,73.45,85,100,4.74
176,Beira,MZ,2022-07-28 23:45:15,-19.8436,34.8389,66.51,65,32,3.78
177,Axim,GH,2022-07-28 23:45:16,4.8699,-2.2405,75.33,77,73,11.72
178,Berlevag,NO,2022-07-28 23:45:16,70.8578,29.0864,48.2,87,100,12.66
179,Husavik,IS,2022-07-28 23:45:17,66.0449,-17.3389,49.01,87,31,5.55
180,Abu Kamal,SY,2022-07-28 23:46:18,34.4506,40.9171,88.74,15,0,3.29
181,Kyshtovka,RU,2022-07-28 23:46:18,56.555,76.6271,58.44,94,51,10.6
182,Mbuji-Mayi,CD,2022-07-28 23:46:19,-6.15,23.6,75.76,32,94,2.01
183,Teya,RU,2022-07-28 23:46:20,60.3778,92.6267,61.43,77,52,2.95
184,Sao Filipe,CV,2022-07-28 23:46:20,14.8961,-24.4956,79.41,73,11,15.43
185,Nishihara,JP,2022-07-28 23:46:21,26.1842,127.7558,87.08,77,75,11.5
186,Port Lincoln,AU,2022-07-28 23:46:21,-34.7333,135.8667,54.66,83,100,13.8
187,Sainte-Marie,RE,2022-07-28 23:46:22,-20.8968,55.5496,67.41,77,20,10.36
188,Urumqi,CN,2022-07-28 23:46:23,43.801,87.6005,76.15,36,0,6.71
189,Bereda,ES,2022-07-28 23:46:24,43.2686,-7.5406,55.56,99,6,0.31
190,Tessalit,ML,2022-07-28 23:46:26,20.1986,1.0114,90.25,33,70,8.5
191,Carnarvon,AU,2022-07-28 23:46:27,-24.8667,113.6333,70.2,56,100,0.78
192,Sretensk,RU,2022-07-28 23:46:27,52.2453,117.7093,67.08,59,3,1.86
193,Klaksvik,FO,2022-07-28 23:46:28,62.2266,-6.589,52.72,91,89,15.1
194,Kruisfontein,ZA,2022-07-28 23:46:28,-34.0033,24.7314,59.52,55,0,10.22
195,Port Alfred,ZA,2022-07-28 23:46:28,-33.5906,26.891,67.17,60,0,1.01
196,Souillac,MU,2022-07-28 23:46:29,-20.5167,57.5167,66.58,88,40,8.05
197,Lulea,SE,2022-07-28 23:46:29,65.5842,22.1547,51.87,82,100,6.91
198,Montmagny,FR,2022-07-28 23:46:30,48.9734,2.3469,70.02,52,0,4.61
199,Semnan,IR,2022-07-28 23:46:30,35.5729,53.3971,82.24,54,75,2.3
200,Road Town,VG,2022-07-28 23:43:06,18.4167,-64.6167,82.49,74,40,9.22
201,Sikasso,ML,2022-07-28 23:46:31,10.9167,-7.0,74.73,88,85,5.88
202,Poltavka,RU,2022-07-28 23:46:32,54.3663,71.7632,62.69,97,100,11.65
203,Saint Anthony,US,2022-07-28 23:46:33,45.0205,-93.218,75.31,50,75,17.27
204,Nieuw Amsterdam,SR,2022-07-28 23:46:33,5.8833,-55.0833,78.82,85,40,2.3
205,Suzhou,CN,2022-07-28 23:43:26,31.3114,120.6181,85.3,72,3,11.86
206,Orel-Izumrud,RU,2022-07-28 23:46:34,43.4583,39.9244,66.22,93,0,7.0
207,Saint-Philippe,RE,2022-07-28 23:46:34,-21.3585,55.7679,65.79,84,24,8.95
